accuracy,loss,val_accuracy,val_loss,learning_rate
0.49550285935401917,1.3873188495635986,0.9305555820465088,0.8411078453063965,0.0010000000474974513
0.9010629653930664,0.6860660910606384,0.9722222089767456,0.44001954793930054,0.0010000000474974513
0.9591169357299805,0.41129010915756226,0.9814814925193787,0.27938541769981384,0.0010000000474974513
0.9754701256752014,0.2776627540588379,0.9814814925193787,0.2031564712524414,0.0010000000474974513
0.9754701256752014,0.21703168749809265,0.9861111044883728,0.16010595858097076,0.0010000000474974513
0.9795584678649902,0.17963846027851105,0.9907407164573669,0.1314280927181244,0.0010000000474974513
0.9820114374160767,0.15650899708271027,0.9907407164573669,0.1106947585940361,0.0010000000474974513
0.980376124382019,0.13261686265468597,0.9907407164573669,0.09580249339342117,0.0010000000474974513
0.9893704056739807,0.12316950410604477,0.9907407164573669,0.08609673380851746,0.0010000000474974513
0.9860997796058655,0.1060141772031784,0.9907407164573669,0.07523947954177856,0.0010000000474974513
